cancer_type,n_samples,Gene,n_samp_mut,frac_samp_mut,n_mut,mut_norm,age_diff,age_diff_l,age_diff_h,age_diff_p
COADREAD,2040,ACVR2A,96,0.047058823529411764,105,7.079438505586816,0.06514275952672222,-2.3864880761245235,2.516773595177968,0.554
COADREAD,2040,AMER1,141,0.06911764705882353,144,4.892906612879004,1.7932459341298994,-0.3006194441583254,3.8871113124181242,0.955
COADREAD,2040,APC,1239,0.6073529411764705,1706,16.17955203130958,-0.5985591329535964,-1.2113771772089543,0.01425891130176149,0.104
COADREAD,2040,ARID1A,113,0.055392156862745096,121,1.7879501307855215,-0.4203330374036227,-2.7043008403725626,1.8636347655653172,0.369
COADREAD,2040,BRAF,190,0.09313725490196079,200,7.009016740549832,2.8812070452409984,1.104031934214248,4.6583821562677485,0.999
COADREAD,2040,CTNNB1,84,0.041176470588235294,90,3.1309935002922087,-0.2594762880923298,-2.9073519396794625,2.388399363494803,0.467
COADREAD,2040,FBXW7,229,0.11225490196078432,259,11.103061345781445,0.16226245064642342,-1.3998657142518658,1.7243906155447126,0.568
COADREAD,2040,GNAS,77,0.037745098039215684,84,11.683951354748974,-0.9521905738066181,-3.6929242934962856,1.7885431458830494,0.267
COADREAD,2040,KRAS,633,0.31029411764705883,646,91.95015567921641,-0.8193813448518767,-1.810314629410412,0.1715519397066585,0.072
COADREAD,2040,NRAS,98,0.04803921568627451,98,14.427288471083308,-0.4494694853712389,-2.9870642806749683,2.0881253099324906,0.355
COADREAD,2040,PCBP1,65,0.031862745098039214,65,5.069227571901671,1.6214724298563823,-1.4939050751093212,4.736849934822086,0.844
COADREAD,2040,PIK3CA,347,0.17009803921568628,382,10.289114005206013,-0.2582476668008695,-1.5452744251323225,1.0287790915305834,0.371
COADREAD,2040,PTEN,87,0.04264705882352941,99,6.85098577786711,-1.3279914396074872,-3.8527495404466747,1.1967666612317003,0.16
COADREAD,2040,SMAD2,57,0.027941176470588237,65,3.8100444410607106,2.068549352933317,-1.0468281520323863,5.183926857899021,0.884
COADREAD,2040,SMAD4,214,0.10490196078431373,228,13.627015475013573,-1.5756429547589903,-3.2403406679056554,0.08905475838767485,0.048
COADREAD,2040,SOX9,167,0.08186274509803922,182,9.653896625900975,0.5471867155706747,-1.31564017493108,2.4100136060724293,0.708
COADREAD,2040,TCF7L2,137,0.06715686274509804,142,7.660692508191589,-2.125678166026603,-4.234217532740604,-0.017138799312601982,0.029
COADREAD,2040,TGIF1,65,0.031862745098039214,73,7.784169611398415,1.0475419767478513,-1.8922892847406856,3.9873732382363882,0.757
COADREAD,2040,TP53,1034,0.5068627450980392,1072,100.7774848494403,-1.4825459398336278,-2.253332434775642,-0.7117594448916137,0.001
COADREAD,2040,ZFP36L2,108,0.052941176470588235,117,6.559273252127313,1.1718143101982719,-1.1508235322044076,3.4944521526009513,0.829
ESSC,908,AJUBA,18,0.019823788546255508,19,4.397057899119081,3.191920922915081,-0.5170056723352219,6.900847518165383,0.947
ESSC,908,CDKN2A,49,0.053964757709251104,49,47.56181484442817,0.5281185598645948,-1.7829942411923234,2.839231360921513,0.666
ESSC,908,CREBBP,36,0.039647577092511016,36,2.126503611174802,1.1743770632659505,-1.52113027829009,3.869884404821991,0.791
ESSC,908,CUL3,14,0.015418502202643172,14,2.4841056305122846,0.9362818251707168,-3.383998804561579,5.256562454903013,0.67
ESSC,908,EP300,69,0.07599118942731277,75,4.132094074534484,-0.2522896034007118,-2.1214352980972846,1.6168560912958612,0.391
ESSC,908,FAT1,103,0.11343612334801761,114,3.6151883751092377,0.5691139053712178,-0.9482952739065698,2.0865230846490053,0.752
ESSC,908,FBXW7,49,0.053964757709251104,51,10.328590244427556,1.6449652985600736,-0.6204805756914347,3.910411172811582,0.899
ESSC,908,KDM6A,27,0.02973568281938326,27,2.6168725148603436,-0.4922896034007138,-3.604160951988958,2.6195817451875305,0.377
ESSC,908,KMT2D,118,0.1299559471365639,128,3.040732147548991,0.3358353965992862,-1.0966390321132375,1.76830982531181,0.661
ESSC,908,NFE2L2,64,0.07048458149779736,69,62.36879493750486,-1.6082316323862216,-3.556687228314474,0.34022396354203077,0.058
ESSC,908,NOTCH1,136,0.14977973568281938,143,7.2226773480052575,1.0461719350608263,-0.3095488218858724,2.401892692007525,0.925
ESSC,908,NOTCH3,47,0.051762114537444934,47,2.739714506298663,-1.3646300289326305,-3.7242966917203666,0.9950366338551055,0.131
ESSC,908,PIK3CA,87,0.09581497797356828,90,11.464393874626268,3.0965992854881748,1.3897338551817675,4.803464715794582,1
ESSC,908,PLXNB2,10,0.011013215859030838,10,1.4244096723084307,4.6077103965992805,-0.5036525165855581,9.719073309784118,0.961
ESSC,908,PTCH1,26,0.028634361233480177,27,3.0775658257519747,1.8410437299326219,-1.2708276186556224,4.952915078520866,0.878
ESSC,908,RB1,23,0.025330396475770924,24,3.491041266684879,-4.908956270067378,-8.20937064118131,-1.6085418989534457,0.002
ESSC,908,TP53,615,0.6773127753303965,695,305.73793881951684,-0.0980449990841663,-0.720583058690975,0.5244930605226424,0.346
ESSC,908,ZFP36L2,13,0.014317180616740088,15,3.7799269659093855,4.2410437299326205,0.06716179965877433,8.414925660206467,0.97
ESSC,908,ZNF750,21,0.023127753303964757,22,3.7903687531080297,-2.2195623306734404,-5.666576991739232,1.2274523303923517,0.126
GBM,775,ATRX,42,0.05419354838709677,45,4.380779032108167,-13.697813303099018,-18.68062526088986,-8.715001345308174,0
GBM,775,BRAF,21,0.027096774193548386,21,6.6650449886267165,-21.416987906273626,-28.70283815144243,-14.131137661104821,0
GBM,775,EGFR,134,0.17290322580645162,167,102.44783045494042,0.7523876283713733,-1.8489741010122538,3.3537493577550004,0.647
GBM,775,GABRA6,16,0.02064516129032258,16,8.70099335269361,5.42229780801209,-2.922724321081356,13.767319937105535,0.849
GBM,775,IDH1,41,0.05290322580645161,41,22.956809392918334,-19.139043655402546,-24.35828154723697,-13.919805763568121,0
GBM,775,KEL,18,0.023225806451612905,18,6.340182942176227,0.9084089191232039,-6.960095603108276,8.776913441354683,0.563
GBM,775,LZTR1,15,0.01935483870967742,15,4.144489384615198,7.857297808012092,-0.7609974344513795,16.475593050475563,0.924
GBM,775,NF1,59,0.07612903225806451,76,33.67647896097952,-4.347439034093171,-8.187219169959299,-0.5076588982270431,0.075
GBM,775,PDGFRA,18,0.023225806451612905,19,4.263627611573555,-10.59743903409317,-18.256440128648897,-2.938437939537442,0.017
GBM,775,PIK3CA,52,0.06709677419354838,55,12.767456309382348,-10.655429464715183,-15.164672166646934,-6.146186762783432,0
GBM,775,PIK3R1,34,0.04387096774193548,34,18.589416386460698,-9.226231603752616,-14.955728036212822,-3.4967351712924097,0.004
GBM,775,PTEN,143,0.18451612903225806,147,84.54963517356816,1.223148148148148,-1.5469552588064777,3.993251555102774,0.754
GBM,775,RB1,30,0.03870967741935484,31,8.004054418282324,0.29084619510886256,-5.708635100654806,6.2903274908725315,0.511
GBM,775,SPTA1,42,0.05419354838709677,44,4.8009856369991475,4.706388717102996,-0.33249093659243023,9.745268370798422,0.935
GBM,775,STAG2,14,0.01806451612903226,14,2.563552299157307,-3.574130763416484,-12.494493012735683,5.346231485902715,0.241
GBM,775,TCF12,4,0.005161290322580645,5,2.264792444744237,-27.142702191987908,-42.062983909333724,-12.222420474642089,0.008
GBM,775,TP53,220,0.2838709677419355,243,200.68119962656436,-10.454924414210133,-12.619065065709746,-8.29078376271052,0
HNSC,902,AJUBA,19,0.02106430155210643,19,3.5601211784701947,6.047101030167397,0.19348298948534914,11.900719070849444,0.988
HNSC,902,ARID2,34,0.037694013303769404,34,2.6540875728844187,-5.616985657139111,-9.993873159632706,-1.2400981546455148,0.004
HNSC,902,CASP8,93,0.10310421286031042,98,39.10602034599252,0.3806133824767386,-2.200062956729807,2.961289721683284,0.588
HNSC,902,CDKN2A,90,0.09977827050997783,94,63.10891067446446,1.3780080850386156,-1.256836896031293,4.012853066108525,0.864
