annotation,AML_n,AML_freq,mean_age,age_bias,CH_freq,CH_freq_l,CH_freq_h,AML_freq_l,AML_freq_h,OR,annotation1
3p-,1,5.52791597567717e-4,41.15537303,-0.6426991150442478,1.663440813371421e-5,9.417598637465951e-6,2.5035577738915407e-5,1.3995373586393638e-5,0.0030760686864417337,33.24964376488883,
3q+,2,0.001105583195135434,54.75154004,0.038738240177089045,5.767120360631729e-6,2.7230973170443305e-6,9.428775026294336e-6,1.3391930878403516e-4,0.003987983500597161,191.9156199113758,
3q-,3,0.001658374792703151,66.18024184333333,0.34293097083794755,8.864354424812724e-6,4.163217804220786e-6,1.4247328557825753e-5,3.4212741003698555e-4,0.004838754736956424,187.39264741212884,
4+,9,0.004975124378109453,48.49859304888889,-0.26382716049382715,1.327682385181405e-6,0,3.933259066099912e-6,0.002277391188894752,0.009423238756040897,3765.9559375000003,
4q-,1,5.52791597567717e-4,63.6386037,0.2986725663716814,5.450948705129349e-5,4.246907174256238e-5,6.931506456201347e-5,1.3995373586393638e-5,0.0030760686864417337,10.146255743697125,
5q+,1,5.52791597567717e-4,70.11909651,0.6360619469026549,4.858487728273204e-6,1.5675987411911385e-6,8.738432048593172e-6,1.3995373586393638e-5,0.0030760686864417337,113.84090870445803,
5q-,11,0.006080707573244887,66.21915251090908,0.4067145312974012,3.782442645158212e-5,2.9401526419842218e-5,4.686511369317675e-5,0.003039259358096262,0.010853961925584632,161.7388009566197,5q-
6+,4,0.002211166390270868,56.5592060225,0.034072022160664794,9.127816398122159e-7,0,2.7383449194366477e-6,6.027867863115763e-4,0.005651703702809006,2427.8144547972797,
6q-,3,0.001658374792703151,67.28359571333333,0.4396456256921373,1.1896241621598073e-5,7.145524361934516e-6,1.748363216559518e-5,3.4212741003698555e-4,0.004838754736956424,139.63315976129792,
7-,50,0.027639579878385848,54.2857221084,-0.02518476407049458,3.1117555902689176e-7,3.111755590268918e-8,7.28254533309269e-7,0.02058268051261923,0.0362784106432974,91347.89653212053,7-
7p-,1,5.52791597567717e-4,30.23134839,-0.8384955752212389,1.0484541835479407e-05,5.579377773352169e-6,1.655889619805702e-5,1.3995373586393638e-5,0.0030760686864417337,52.75304871108838,
7q+,3,0.001658374792703151,67.89961214,0.46770025839793283,3.593040454897177e-6,5.287391373798604e-7,8.625942084004953e-6,3.4212741003698555e-4,0.004838754736956424,462.31697651400646,
7q-,22,0.012161415146489774,60.25051334727273,0.17983415577148087,2.431318367863448e-5,1.7250276427621603e-5,3.229001354650933e-5,0.007636756867555559,0.018354934011814095,506.3440815445643,7q-
8+,97,0.053620784964068545,59.24220806226804,0.11278784083245014,3.2163105781019534e-5,2.1450109222621215e-5,4.4613810386210355e-5,0.043694875921785614,0.06502353956682749,1761.5542654654091,8+
8p-,1,5.52791597567717e-4,61.87268994,0.1957964601769912,8.368548034096543e-6,3.877143740288729e-6,1.3633742218017894e-5,1.3995373586393638e-5,0.0030760686864417337,66.09183746780683,
9+,3,0.001658374792703151,68.83504449333333,0.5625692137320044,1.9745126472119708e-5,1.096644905122572e-5,2.975102843522258e-5,3.4212741003698555e-4,0.004838754736956424,84.12692474967871,
9p+,2,0.001105583195135434,57.49760438,-0.03846153846153849,1.929288465966729e-6,5.518179913410215e-7,3.7656391649707592e-6,1.3391930878403516e-4,0.003987983500597161,573.6854526304514,
9q+,1,5.52791597567717e-4,52.90075291,-0.2665929203539823,3.7901183089475417e-6,1.4562497536526824e-6,6.797059598417567e-6,1.3995373586393638e-5,0.0030760686864417337,145.93086646468169,
9q-,32,0.017689331122166942,48.1113107465625,-0.29964476646032634,1.3096342027578453e-5,7.401621847013649e-6,1.954581852656298e-5,0.012130155296620645,0.024880962167217358,1375.013157992088,9q-
1-,0,0,0,0,5.248494428920242e-7,0,1.2074130316175112e-6,0,0.0020371038484649543,0,
10-,0,0,0,0,3.319205962953512e-8,0,9.957617888860538e-8,0,0.0020371038484649543,0,
10p+,0,0,0,0,3.7133616710542416e-7,0,1.1140085013162724e-6,0,0.0020371038484649543,0,
10q+,0,0,0,0,4.352308818922793e-6,1.202123047114054e-6,8.018319942411775e-6,0,0.0020371038484649543,0,
10q-,0,0,0,0,3.6224984078183895e-5,2.9924716259752762e-5,4.3175193914235864e-5,0,0.0020371038484649543,0,
12-,0,0,0,0,1.057996900691432e-7,0,3.173990702074296e-7,0,0.0020371038484649543,0,
12q+,0,0,0,0,6.3272363668801335e-6,2.522855844810525e-6,1.1406088253537547e-5,0,0.0020371038484649543,0,
13q+,0,0,0,0,3.920812043738837e-6,8.666757944830649e-7,8.165817157390521e-6,0,0.0020371038484649543,0,
15q+,0,0,0,0,3.4283248589856094e-5,2.7738137469063965e-5,4.156501598405122e-5,0,0.0020371038484649543,0,
16+,0,0,0,0,1.2032121615706482e-6,0,3.6096364847119442e-6,0,0.0020371038484649543,0,
16p-,0,0,0,0,7.069493800345613e-5,5.6127720970950726e-5,8.7836043672452445e-05,0,0.0020371038484649543,0,
17-,0,0,0,0,7.883114162014592e-7,3.734106708322701e-8,2.155409372192937e-6,0,0.0020371038484649543,0,
17p+,0,0,0,0,1.2820433031907942e-6,0,3.454048705198499e-6,0,0.0020371038484649543,0,
17p-,0,0,0,0,5.424827245702148e-6,2.5619083774684005e-6,8.973577046031162e-6,0,0.0020371038484649543,0,
17q+,0,0,0,0,4.648962851861764e-6,1.8689722701086834e-6,8.54228772121989e-6,0,0.0020371038484649543,0,
17q-,0,0,0,0,3.2044859068589316e-5,2.2596428119483117e-5,4.2489881608072304e-5,0,0.0020371038484649543,0,
