"","group","data","n","Age"
"1646"," normal blood","Fabre et al.",1439,81.45
"1647"," normal blood","Fabre et al.",1439,66.32
"1648"," normal blood","Fabre et al.",1439,69.44
"1649"," normal blood","Fabre et al.",1439,72.86
"1650"," normal blood","Fabre et al.",1439,75.71
"1651"," normal blood","Fabre et al.",1439,79.73
"1652"," normal blood","Fabre et al.",1439,70.5
"1653"," normal blood","Fabre et al.",1439,76.5
"1654"," normal blood","Fabre et al.",1439,70.7
"1655"," normal blood","Fabre et al.",1439,73.69
"1656"," normal blood","Fabre et al.",1439,78.39
"1657"," normal blood","Fabre et al.",1439,82.6
"1658"," normal blood","Fabre et al.",1439,64
"1659"," normal blood","Fabre et al.",1439,67.02
"1660"," normal blood","Fabre et al.",1439,72.25
"1661"," normal blood","Fabre et al.",1439,75.63
"1662"," normal blood","Fabre et al.",1439,72.29
"1663"," normal blood","Fabre et al.",1439,75.53
"1664"," normal blood","Fabre et al.",1439,79.38
"1665"," normal blood","Fabre et al.",1439,84.67
"1666"," normal blood","Fabre et al.",1439,73.31
"1667"," normal blood","Fabre et al.",1439,76.31
"1668"," normal blood","Fabre et al.",1439,80.97
"1669"," normal blood","Fabre et al.",1439,63.98
"1670"," normal blood","Fabre et al.",1439,66.96
"1671"," normal blood","Fabre et al.",1439,70.3
"1672"," normal blood","Fabre et al.",1439,73.14
"1673"," normal blood","Fabre et al.",1439,76.71
"1674"," normal blood","Fabre et al.",1439,73.16
"1675"," normal blood","Fabre et al.",1439,80.93
"1676"," normal blood","Fabre et al.",1439,86.84
"1677"," normal blood","Fabre et al.",1439,67.86
"1678"," normal blood","Fabre et al.",1439,70.82
"1679"," normal blood","Fabre et al.",1439,75.27
"1680"," normal blood","Fabre et al.",1439,78.97
"1681"," normal blood","Fabre et al.",1439,82.07
"1682"," normal blood","Fabre et al.",1439,73.41
"1683"," normal blood","Fabre et al.",1439,76.63
"1684"," normal blood","Fabre et al.",1439,81.31
"1685"," normal blood","Fabre et al.",1439,85.44
"1686"," normal blood","Fabre et al.",1439,65.39
"1687"," normal blood","Fabre et al.",1439,68.53
"1688"," normal blood","Fabre et al.",1439,76.67
"1689"," normal blood","Fabre et al.",1439,68.94
"1690"," normal blood","Fabre et al.",1439,71.93
"1691"," normal blood","Fabre et al.",1439,76.28
"1692"," normal blood","Fabre et al.",1439,80.5
"1693"," normal blood","Fabre et al.",1439,76.41
"1694"," normal blood","Fabre et al.",1439,79.32
"1695"," normal blood","Fabre et al.",1439,83.73
"1696"," normal blood","Fabre et al.",1439,56.15
"1697"," normal blood","Fabre et al.",1439,59.05
"1698"," normal blood","Fabre et al.",1439,62.18
"1699"," normal blood","Fabre et al.",1439,64.81
"1700"," normal blood","Fabre et al.",1439,68.94
"1701"," normal blood","Fabre et al.",1439,64.74
"1702"," normal blood","Fabre et al.",1439,67.68
"1703"," normal blood","Fabre et al.",1439,70.93
"1704"," normal blood","Fabre et al.",1439,73.78
"1705"," normal blood","Fabre et al.",1439,77.88
"1706"," normal blood","Fabre et al.",1439,62.95
"1707"," normal blood","Fabre et al.",1439,65.82
"1708"," normal blood","Fabre et al.",1439,69.17
"1709"," normal blood","Fabre et al.",1439,71.92
"1710"," normal blood","Fabre et al.",1439,76.19
"1711"," normal blood","Fabre et al.",1439,75.58
"1712"," normal blood","Fabre et al.",1439,78.67
"1713"," normal blood","Fabre et al.",1439,82.82
"1714"," normal blood","Fabre et al.",1439,85.89
"1715"," normal blood","Fabre et al.",1439,90.36
"1716"," normal blood","Fabre et al.",1439,66
"1717"," normal blood","Fabre et al.",1439,69.17
"1718"," normal blood","Fabre et al.",1439,72.62
"1719"," normal blood","Fabre et al.",1439,76.19
"1720"," normal blood","Fabre et al.",1439,80.8
"1721"," normal blood","Fabre et al.",1439,67.33
"1722"," normal blood","Fabre et al.",1439,70.72
"1723"," normal blood","Fabre et al.",1439,75.07
"1724"," normal blood","Fabre et al.",1439,78.18
"1725"," normal blood","Fabre et al.",1439,82.14
"1726"," normal blood","Fabre et al.",1439,71.61
"1727"," normal blood","Fabre et al.",1439,74.98
"1728"," normal blood","Fabre et al.",1439,81.54
"1729"," normal blood","Fabre et al.",1439,74.88
"1730"," normal blood","Fabre et al.",1439,79.04
"1731"," normal blood","Fabre et al.",1439,83.67
"1732"," normal blood","Fabre et al.",1439,87.58
"1733"," normal blood","Fabre et al.",1439,69
"1734"," normal blood","Fabre et al.",1439,73.16
"1735"," normal blood","Fabre et al.",1439,77.78
"1736"," normal blood","Fabre et al.",1439,81.69
"1737"," normal blood","Fabre et al.",1439,79.26
"1738"," normal blood","Fabre et al.",1439,82.37
"1739"," normal blood","Fabre et al.",1439,86.08
"1740"," normal blood","Fabre et al.",1439,89.99
"1741"," normal blood","Fabre et al.",1439,73.89
"1742"," normal blood","Fabre et al.",1439,77
"1743"," normal blood","Fabre et al.",1439,80.78
"1744"," normal blood","Fabre et al.",1439,84.06
"1745"," normal blood","Fabre et al.",1439,72.9
"1746"," normal blood","Fabre et al.",1439,76.02
"1747"," normal blood","Fabre et al.",1439,79.9
"1748"," normal blood","Fabre et al.",1439,83.13
"1749"," normal blood","Fabre et al.",1439,93.69
"1750"," normal blood","Fabre et al.",1439,98.32
"1751"," normal blood","Fabre et al.",1439,101.45
"1752"," normal blood","Fabre et al.",1439,55.47
"1753"," normal blood","Fabre et al.",1439,58.69
"1754"," normal blood","Fabre et al.",1439,62.49
"1755"," normal blood","Fabre et al.",1439,65.56
"1756"," normal blood","Fabre et al.",1439,70.38
"1757"," normal blood","Fabre et al.",1439,57.84
"1758"," normal blood","Fabre et al.",1439,60.96
"1759"," normal blood","Fabre et al.",1439,64.67
"1760"," normal blood","Fabre et al.",1439,67.92
"1761"," normal blood","Fabre et al.",1439,72.17
"1762"," normal blood","Fabre et al.",1439,76.72
"1763"," normal blood","Fabre et al.",1439,80.42
"1764"," normal blood","Fabre et al.",1439,83.93
"1765"," normal blood","Fabre et al.",1439,86.88
"1766"," normal blood","Fabre et al.",1439,92.38
"1767"," normal blood","Fabre et al.",1439,69.8
"1768"," normal blood","Fabre et al.",1439,73.5
"1769"," normal blood","Fabre et al.",1439,77
"1770"," normal blood","Fabre et al.",1439,85.46
"1771"," normal blood","Fabre et al.",1439,60.09
"1772"," normal blood","Fabre et al.",1439,63.43
"1773"," normal blood","Fabre et al.",1439,67.16
"1774"," normal blood","Fabre et al.",1439,70.1
"1775"," normal blood","Fabre et al.",1439,74.35
"1776"," normal blood","Fabre et al.",1439,62.23
"1777"," normal blood","Fabre et al.",1439,65.51
"1778"," normal blood","Fabre et al.",1439,69.21
"1779"," normal blood","Fabre et al.",1439,72.18
"1780"," normal blood","Fabre et al.",1439,77.39
"1781"," normal blood","Fabre et al.",1439,62.5
"1782"," normal blood","Fabre et al.",1439,65.69
"1783"," normal blood","Fabre et al.",1439,68.77
"1784"," normal blood","Fabre et al.",1439,72.21
"1785"," normal blood","Fabre et al.",1439,77.74
"1786"," normal blood","Fabre et al.",1439,66.89
"1787"," normal blood","Fabre et al.",1439,70.77
"1788"," normal blood","Fabre et al.",1439,74.74
"1789"," normal blood","Fabre et al.",1439,81.25
"1790"," normal blood","Fabre et al.",1439,76.64
"1791"," normal blood","Fabre et al.",1439,79.7
"1792"," normal blood","Fabre et al.",1439,82.77
"1793"," normal blood","Fabre et al.",1439,86.74
"1794"," normal blood","Fabre et al.",1439,68.14
"1795"," normal blood","Fabre et al.",1439,71.72
"1796"," normal blood","Fabre et al.",1439,76.49
"1797"," normal blood","Fabre et al.",1439,80.38
"1798"," normal blood","Fabre et al.",1439,60.06
"1799"," normal blood","Fabre et al.",1439,63.61
"1800"," normal blood","Fabre et al.",1439,67.43
"1801"," normal blood","Fabre et al.",1439,70.13
"1802"," normal blood","Fabre et al.",1439,74.4
"1803"," normal blood","Fabre et al.",1439,69.9
"1804"," normal blood","Fabre et al.",1439,73.58
"1805"," normal blood","Fabre et al.",1439,78.91
"1806"," normal blood","Fabre et al.",1439,82.62
"1807"," normal blood","Fabre et al.",1439,68.7
"1808"," normal blood","Fabre et al.",1439,71.88
"1809"," normal blood","Fabre et al.",1439,77.37
"1810"," normal blood","Fabre et al.",1439,81.53
"1811"," normal blood","Fabre et al.",1439,72.46
"1812"," normal blood","Fabre et al.",1439,75.45
"1813"," normal blood","Fabre et al.",1439,79.36
"1814"," normal blood","Fabre et al.",1439,82.15
"1815"," normal blood","Fabre et al.",1439,85.99
"1816"," normal blood","Fabre et al.",1439,71.98
"1817"," normal blood","Fabre et al.",1439,74.51
"1818"," normal blood","Fabre et al.",1439,78.21
"1819"," normal blood","Fabre et al.",1439,82.06
"1820"," normal blood","Fabre et al.",1439,73.64
"1821"," normal blood","Fabre et al.",1439,77.51
"1822"," normal blood","Fabre et al.",1439,81.3
"1823"," normal blood","Fabre et al.",1439,73.56
"1824"," normal blood","Fabre et al.",1439,76.77
"1825"," normal blood","Fabre et al.",1439,81.16
"1826"," normal blood","Fabre et al.",1439,74.94
"1827"," normal blood","Fabre et al.",1439,77.85
"1828"," normal blood","Fabre et al.",1439,82.95
"1829"," normal blood","Fabre et al.",1439,70.94
"1830"," normal blood","Fabre et al.",1439,74
"1831"," normal blood","Fabre et al.",1439,77.78
"1832"," normal blood","Fabre et al.",1439,82
"1833"," normal blood","Fabre et al.",1439,69
"1834"," normal blood","Fabre et al.",1439,71.91
"1835"," normal blood","Fabre et al.",1439,75.9
"1836"," normal blood","Fabre et al.",1439,82.08
"1837"," normal blood","Fabre et al.",1439,77.43
"1838"," normal blood","Fabre et al.",1439,80.23
"1839"," normal blood","Fabre et al.",1439,84.58
"1840"," normal blood","Fabre et al.",1439,88.4
"1841"," normal blood","Fabre et al.",1439,70.56
"1842"," normal blood","Fabre et al.",1439,75.92
"1843"," normal blood","Fabre et al.",1439,80.18
"1844"," normal blood","Fabre et al.",1439,74.4
"1845"," normal blood","Fabre et al.",1439,78.25
"1846"," normal blood","Fabre et al.",1439,81.98
"1847"," normal blood","Fabre et al.",1439,76.54
"1848"," normal blood","Fabre et al.",1439,79.55
"1849"," normal blood","Fabre et al.",1439,82.58
"1850"," normal blood","Fabre et al.",1439,85.57
"1851"," normal blood","Fabre et al.",1439,77
"1852"," normal blood","Fabre et al.",1439,79.87
"1853"," normal blood","Fabre et al.",1439,84.26
"1854"," normal blood","Fabre et al.",1439,73.46
"1855"," normal blood","Fabre et al.",1439,76.59
"1856"," normal blood","Fabre et al.",1439,81.01
"1857"," normal blood","Fabre et al.",1439,67.7
"1858"," normal blood","Fabre et al.",1439,70.88
"1859"," normal blood","Fabre et al.",1439,74.36
"1860"," normal blood","Fabre et al.",1439,78.01
"1861"," normal blood","Fabre et al.",1439,61.95
"1862"," normal blood","Fabre et al.",1439,65.11
"1863"," normal blood","Fabre et al.",1439,68.68
"1864"," normal blood","Fabre et al.",1439,72.15
"1865"," normal blood","Fabre et al.",1439,76.38
"1866"," normal blood","Fabre et al.",1439,55.51
"1867"," normal blood","Fabre et al.",1439,58.81
"1868"," normal blood","Fabre et al.",1439,62.63
"1869"," normal blood","Fabre et al.",1439,65.82
"1870"," normal blood","Fabre et al.",1439,70.26
"1871"," normal blood","Fabre et al.",1439,68.62
"1872"," normal blood","Fabre et al.",1439,71.94
"1873"," normal blood","Fabre et al.",1439,75.48
"1874"," normal blood","Fabre et al.",1439,78.92
"1875"," normal blood","Fabre et al.",1439,84.44
"1876"," normal blood","Fabre et al.",1439,66.14
"1877"," normal blood","Fabre et al.",1439,69.46
"1878"," normal blood","Fabre et al.",1439,73
"1879"," normal blood","Fabre et al.",1439,76.44
"1880"," normal blood","Fabre et al.",1439,81.96
"1881"," normal blood","Fabre et al.",1439,62.96
"1882"," normal blood","Fabre et al.",1439,66.2
"1883"," normal blood","Fabre et al.",1439,72.2
"1884"," normal blood","Fabre et al.",1439,75.86
"1885"," normal blood","Fabre et al.",1439,77.6
"1886"," normal blood","Fabre et al.",1439,80.76
"1887"," normal blood","Fabre et al.",1439,84.39
"1888"," normal blood","Fabre et al.",1439,87.81
"1889"," normal blood","Fabre et al.",1439,64.02
"1890"," normal blood","Fabre et al.",1439,67.15
"1891"," normal blood","Fabre et al.",1439,70.8
"1892"," normal blood","Fabre et al.",1439,74.21
"1893"," normal blood","Fabre et al.",1439,78.83
"1894"," normal blood","Fabre et al.",1439,66.31
"1895"," normal blood","Fabre et al.",1439,69.42
"1896"," normal blood","Fabre et al.",1439,75.62
"1897"," normal blood","Fabre et al.",1439,80.64
"1898"," normal blood","Fabre et al.",1439,65.28
"1899"," normal blood","Fabre et al.",1439,68.39
"1900"," normal blood","Fabre et al.",1439,74.59
"1901"," normal blood","Fabre et al.",1439,79.61
"1902"," normal blood","Fabre et al.",1439,70.82
"1903"," normal blood","Fabre et al.",1439,74
"1904"," normal blood","Fabre et al.",1439,77.77
"1905"," normal blood","Fabre et al.",1439,81.95
"1906"," normal blood","Fabre et al.",1439,68.95
"1907"," normal blood","Fabre et al.",1439,72.04
"1908"," normal blood","Fabre et al.",1439,75.7
"1909"," normal blood","Fabre et al.",1439,80.15
"1910"," normal blood","Fabre et al.",1439,83.84
"1911"," normal blood","Fabre et al.",1439,70.84
"1912"," normal blood","Fabre et al.",1439,74.22
"1913"," normal blood","Fabre et al.",1439,78.73
"1914"," normal blood","Fabre et al.",1439,81.35
"1915"," normal blood","Fabre et al.",1439,63.94
"1916"," normal blood","Fabre et al.",1439,67.11
"1917"," normal blood","Fabre et al.",1439,72.13
"1918"," normal blood","Fabre et al.",1439,74.78
"1919"," normal blood","Fabre et al.",1439,79.1
"1920"," normal blood","Fabre et al.",1439,65.07
"1921"," normal blood","Fabre et al.",1439,68.25
"1922"," normal blood","Fabre et al.",1439,72.1
"1923"," normal blood","Fabre et al.",1439,75.23
"1924"," normal blood","Fabre et al.",1439,80.24
"1925"," normal blood","Fabre et al.",1439,75.01
"1926"," normal blood","Fabre et al.",1439,78.36
"1927"," normal blood","Fabre et al.",1439,83.77
"1928"," normal blood","Fabre et al.",1439,57.14
"1929"," normal blood","Fabre et al.",1439,60.47
"1930"," normal blood","Fabre et al.",1439,63.84
"1931"," normal blood","Fabre et al.",1439,67.16
"1932"," normal blood","Fabre et al.",1439,71.53
"1933"," normal blood","Fabre et al.",1439,61.85
"1934"," normal blood","Fabre et al.",1439,65.22
"1935"," normal blood","Fabre et al.",1439,68.92
"1936"," normal blood","Fabre et al.",1439,72.89
"1937"," normal blood","Fabre et al.",1439,77.02
"1938"," normal blood","Fabre et al.",1439,57.68
"1939"," normal blood","Fabre et al.",1439,60.87
"1940"," normal blood","Fabre et al.",1439,64.64
"1941"," normal blood","Fabre et al.",1439,67.76
"1942"," normal blood","Fabre et al.",1439,72.16
"1943"," normal blood","Fabre et al.",1439,71.2
"1944"," normal blood","Fabre et al.",1439,74.63
"1945"," normal blood","Fabre et al.",1439,78.42
"1946"," normal blood","Fabre et al.",1439,81.43
"1947"," normal blood","Fabre et al.",1439,86.93
"1948"," normal blood","Fabre et al.",1439,72.9
"1949"," normal blood","Fabre et al.",1439,75.98
"1950"," normal blood","Fabre et al.",1439,79.83
"1951"," normal blood","Fabre et al.",1439,82.94
"1952"," normal blood","Fabre et al.",1439,87.4
"1953"," normal blood","Fabre et al.",1439,59.18
"1954"," normal blood","Fabre et al.",1439,62.06
"1955"," normal blood","Fabre et al.",1439,66.75
"1956"," normal blood","Fabre et al.",1439,69.94
"1957"," normal blood","Fabre et al.",1439,74.4
"1958"," normal blood","Fabre et al.",1439,61.63
"1959"," normal blood","Fabre et al.",1439,64.62
"1960"," normal blood","Fabre et al.",1439,68.43
"1961"," normal blood","Fabre et al.",1439,71.54
"1962"," normal blood","Fabre et al.",1439,75.83
"1963"," normal blood","Fabre et al.",1439,62.23
"1964"," normal blood","Fabre et al.",1439,65.45
"1965"," normal blood","Fabre et al.",1439,69.11
"1966"," normal blood","Fabre et al.",1439,72.14
"1967"," normal blood","Fabre et al.",1439,77.35
"1968"," normal blood","Fabre et al.",1439,62.24
"1969"," normal blood","Fabre et al.",1439,65.58
"1970"," normal blood","Fabre et al.",1439,69.28
"1971"," normal blood","Fabre et al.",1439,72.22
"1972"," normal blood","Fabre et al.",1439,76.69
"1973"," normal blood","Fabre et al.",1439,58.99
"1974"," normal blood","Fabre et al.",1439,62.33
"1975"," normal blood","Fabre et al.",1439,66.03
"1976"," normal blood","Fabre et al.",1439,68.97
"1977"," normal blood","Fabre et al.",1439,73.44
"1978"," normal blood","Fabre et al.",1439,61.72
"1979"," normal blood","Fabre et al.",1439,64.94
"1980"," normal blood","Fabre et al.",1439,68.62
"1981"," normal blood","Fabre et al.",1439,71.64
"1982"," normal blood","Fabre et al.",1439,76.91
"1983"," normal blood","Fabre et al.",1439,56.85
"1984"," normal blood","Fabre et al.",1439,60.09
"1985"," normal blood","Fabre et al.",1439,63.6
"1986"," normal blood","Fabre et al.",1439,66.64
"1987"," normal blood","Fabre et al.",1439,70.86
"1988"," normal blood","Fabre et al.",1439,60.45
"1989"," normal blood","Fabre et al.",1439,63.46
"1990"," normal blood","Fabre et al.",1439,67.21
"1991"," normal blood","Fabre et al.",1439,70.26
"1992"," normal blood","Fabre et al.",1439,75.36
"1993"," normal blood","Fabre et al.",1439,64.84
"1994"," normal blood","Fabre et al.",1439,68.22
"1995"," normal blood","Fabre et al.",1439,71.91
"1996"," normal blood","Fabre et al.",1439,74.78
"1997"," normal blood","Fabre et al.",1439,79.53
"1998"," normal blood","Fabre et al.",1439,60.79
"1999"," normal blood","Fabre et al.",1439,64.07
"2000"," normal blood","Fabre et al.",1439,67.81
"2001"," normal blood","Fabre et al.",1439,70.7
"2002"," normal blood","Fabre et al.",1439,75.84
"2003"," normal blood","Fabre et al.",1439,62.45
"2004"," normal blood","Fabre et al.",1439,65.15
"2005"," normal blood","Fabre et al.",1439,68.88
"2006"," normal blood","Fabre et al.",1439,72.14
"2007"," normal blood","Fabre et al.",1439,76.47
"2008"," normal blood","Fabre et al.",1439,61.28
"2009"," normal blood","Fabre et al.",1439,63.98
"2010"," normal blood","Fabre et al.",1439,67.71
"2011"," normal blood","Fabre et al.",1439,70.97
"2012"," normal blood","Fabre et al.",1439,75.3
"2013"," normal blood","Fabre et al.",1439,60.84
"2014"," normal blood","Fabre et al.",1439,64.06
"2015"," normal blood","Fabre et al.",1439,67.8
"2016"," normal blood","Fabre et al.",1439,70.67
"2017"," normal blood","Fabre et al.",1439,75.42
"2018"," normal blood","Fabre et al.",1439,54.57
"2019"," normal blood","Fabre et al.",1439,57.79
"2020"," normal blood","Fabre et al.",1439,61.52
"2021"," normal blood","Fabre et al.",1439,64.4
"2022"," normal blood","Fabre et al.",1439,69.14
"2023"," normal blood","Fabre et al.",1439,64.99
"2024"," normal blood","Fabre et al.",1439,68.04
"2025"," normal blood","Fabre et al.",1439,72.1
"2026"," normal blood","Fabre et al.",1439,75.64
"2027"," normal blood","Fabre et al.",1439,79.67
"2028"," normal blood","Fabre et al.",1439,74.31
"2029"," normal blood","Fabre et al.",1439,77.7
"2030"," normal blood","Fabre et al.",1439,82.88
"2031"," normal blood","Fabre et al.",1439,87.43
"2032"," normal blood","Fabre et al.",1439,59.57
"2033"," normal blood","Fabre et al.",1439,62.87
"2034"," normal blood","Fabre et al.",1439,66.63
"2035"," normal blood","Fabre et al.",1439,69.31
"2036"," normal blood","Fabre et al.",1439,73.56
"2037"," normal blood","Fabre et al.",1439,66.49
"2038"," normal blood","Fabre et al.",1439,69.79
"2039"," normal blood","Fabre et al.",1439,73.58
"2040"," normal blood","Fabre et al.",1439,76.26
"2041"," normal blood","Fabre et al.",1439,81.29
"2042"," normal blood","Fabre et al.",1439,64.32
"2043"," normal blood","Fabre et al.",1439,67.58
"2044"," normal blood","Fabre et al.",1439,73.14
"2045"," normal blood","Fabre et al.",1439,76.75
"2046"," normal blood","Fabre et al.",1439,66.64
"2047"," normal blood","Fabre et al.",1439,69.85
"2048"," normal blood","Fabre et al.",1439,72.99
"2049"," normal blood","Fabre et al.",1439,76.19
"2050"," normal blood","Fabre et al.",1439,81.04
"2051"," normal blood","Fabre et al.",1439,70.47
"2052"," normal blood","Fabre et al.",1439,74.06
"2053"," normal blood","Fabre et al.",1439,78.57
"2054"," normal blood","Fabre et al.",1439,82.43
"2055"," normal blood","Fabre et al.",1439,62.83
"2056"," normal blood","Fabre et al.",1439,66.14
"2057"," normal blood","Fabre et al.",1439,69.92
"2058"," normal blood","Fabre et al.",1439,72.61
"2059"," normal blood","Fabre et al.",1439,77.82
"2060"," normal blood","Fabre et al.",1439,67.43
"2061"," normal blood","Fabre et al.",1439,70.88
"2062"," normal blood","Fabre et al.",1439,75.76
"2063"," normal blood","Fabre et al.",1439,79.47
"2064"," normal blood","Fabre et al.",1439,82.92
"2065"," normal blood","Fabre et al.",1439,59.2
"2066"," normal blood","Fabre et al.",1439,62.7
"2067"," normal blood","Fabre et al.",1439,66.67
"2068"," normal blood","Fabre et al.",1439,69.24
"2069"," normal blood","Fabre et al.",1439,73.25
"2070"," normal blood","Fabre et al.",1439,64.75
"2071"," normal blood","Fabre et al.",1439,67.95
"2072"," normal blood","Fabre et al.",1439,72.07
"2073"," normal blood","Fabre et al.",1439,77.32
"2074"," normal blood","Fabre et al.",1439,68.43
"2075"," normal blood","Fabre et al.",1439,71.54
"2076"," normal blood","Fabre et al.",1439,74.98
"2077"," normal blood","Fabre et al.",1439,77.92
"2078"," normal blood","Fabre et al.",1439,82.16
"2079"," normal blood","Fabre et al.",1439,62.74
"2080"," normal blood","Fabre et al.",1439,65.68
"2081"," normal blood","Fabre et al.",1439,69.4
"2082"," normal blood","Fabre et al.",1439,72.26
"2083"," normal blood","Fabre et al.",1439,77.64
"2084"," normal blood","Fabre et al.",1439,56.8
"2085"," normal blood","Fabre et al.",1439,59.93
"2086"," normal blood","Fabre et al.",1439,63.68
"2087"," normal blood","Fabre et al.",1439,66.42
"2088"," normal blood","Fabre et al.",1439,71.09
"2089"," normal blood","Fabre et al.",1439,75.03
"2090"," normal blood","Fabre et al.",1439,78.19
"2091"," normal blood","Fabre et al.",1439,81.55
"2092"," normal blood","Fabre et al.",1439,85.47
"2093"," normal blood","Fabre et al.",1439,58.42
"2094"," normal blood","Fabre et al.",1439,61.62
"2095"," normal blood","Fabre et al.",1439,65.52
"2096"," normal blood","Fabre et al.",1439,68.08
"2097"," normal blood","Fabre et al.",1439,72.51
"2098"," normal blood","Fabre et al.",1439,56.21
"2099"," normal blood","Fabre et al.",1439,59.16
"2100"," normal blood","Fabre et al.",1439,62.19
"2101"," normal blood","Fabre et al.",1439,65.45
"2102"," normal blood","Fabre et al.",1439,69.7
"2103"," normal blood","Fabre et al.",1439,62.58
"2104"," normal blood","Fabre et al.",1439,65.21
"2105"," normal blood","Fabre et al.",1439,68.96
"2106"," normal blood","Fabre et al.",1439,71.9
"2107"," normal blood","Fabre et al.",1439,76.21
"2108"," normal blood","Fabre et al.",1439,76.76
"2109"," normal blood","Fabre et al.",1439,79.8
"2110"," normal blood","Fabre et al.",1439,85.53
"2111"," normal blood","Fabre et al.",1439,55.07
"2112"," normal blood","Fabre et al.",1439,58.08
"2113"," normal blood","Fabre et al.",1439,61.72
"2114"," normal blood","Fabre et al.",1439,64.46
"2115"," normal blood","Fabre et al.",1439,68.73
"2116"," normal blood","Fabre et al.",1439,72.17
"2117"," normal blood","Fabre et al.",1439,75.25
"2118"," normal blood","Fabre et al.",1439,79.16
"2119"," normal blood","Fabre et al.",1439,81.71
"2120"," normal blood","Fabre et al.",1439,85.9
"2121"," normal blood","Fabre et al.",1439,71.47
"2122"," normal blood","Fabre et al.",1439,75.43
"2123"," normal blood","Fabre et al.",1439,79.69
"2124"," normal blood","Fabre et al.",1439,84.34
"2125"," normal blood","Fabre et al.",1439,68.7
"2126"," normal blood","Fabre et al.",1439,71.81
"2127"," normal blood","Fabre et al.",1439,76.64
"2128"," normal blood","Fabre et al.",1439,80.27
"2129"," normal blood","Fabre et al.",1439,70.26
"2130"," normal blood","Fabre et al.",1439,73.33
"2131"," normal blood","Fabre et al.",1439,77.28
"2132"," normal blood","Fabre et al.",1439,84.92
"2133"," normal blood","Fabre et al.",1439,72.72
"2134"," normal blood","Fabre et al.",1439,75.8
"2135"," normal blood","Fabre et al.",1439,80.71
"2136"," normal blood","Fabre et al.",1439,63.56
"2137"," normal blood","Fabre et al.",1439,66.66
"2138"," normal blood","Fabre et al.",1439,71.47
"2139"," normal blood","Fabre et al.",1439,75.8
"2140"," normal blood","Fabre et al.",1439,63.34
"2141"," normal blood","Fabre et al.",1439,66.35
"2142"," normal blood","Fabre et al.",1439,70.59
"2143"," normal blood","Fabre et al.",1439,73.29
"2144"," normal blood","Fabre et al.",1439,77.27
"2145"," normal blood","Fabre et al.",1439,63.83
"2146"," normal blood","Fabre et al.",1439,66.63
"2147"," normal blood","Fabre et al.",1439,73.34
"2148"," normal blood","Fabre et al.",1439,77.08
"2149"," normal blood","Fabre et al.",1439,67.37
"2150"," normal blood","Fabre et al.",1439,70.39
"2151"," normal blood","Fabre et al.",1439,75.8
"2152"," normal blood","Fabre et al.",1439,80.02
"2153"," normal blood","Fabre et al.",1439,64.54
"2154"," normal blood","Fabre et al.",1439,67.53
"2155"," normal blood","Fabre et al.",1439,71.04
"2156"," normal blood","Fabre et al.",1439,74.41
"2157"," normal blood","Fabre et al.",1439,78.74
"2158"," normal blood","Fabre et al.",1439,71.78
"2159"," normal blood","Fabre et al.",1439,74.81
"2160"," normal blood","Fabre et al.",1439,79.66
"2161"," normal blood","Fabre et al.",1439,73.99
"2162"," normal blood","Fabre et al.",1439,76.51
"2163"," normal blood","Fabre et al.",1439,82.35
"2164"," normal blood","Fabre et al.",1439,85.39
"2165"," normal blood","Fabre et al.",1439,69.86
"2166"," normal blood","Fabre et al.",1439,72.38
"2167"," normal blood","Fabre et al.",1439,78.21
"2168"," normal blood","Fabre et al.",1439,81.26
"2169"," normal blood","Fabre et al.",1439,62.5
"2170"," normal blood","Fabre et al.",1439,65.48
"2171"," normal blood","Fabre et al.",1439,70.06
"2172"," normal blood","Fabre et al.",1439,73.69
"2173"," normal blood","Fabre et al.",1439,76.75
"2174"," normal blood","Fabre et al.",1439,72.82
"2175"," normal blood","Fabre et al.",1439,76.88
"2176"," normal blood","Fabre et al.",1439,80.4
"2177"," normal blood","Fabre et al.",1439,84.82
"2178"," normal blood","Fabre et al.",1439,70.63
"2179"," normal blood","Fabre et al.",1439,78.3
"2180"," normal blood","Fabre et al.",1439,82.63
"2181"," normal blood","Fabre et al.",1439,73.15
"2182"," normal blood","Fabre et al.",1439,80.82
"2183"," normal blood","Fabre et al.",1439,85.15
"2184"," normal blood","Fabre et al.",1439,67.12
"2185"," normal blood","Fabre et al.",1439,71.27
"2186"," normal blood","Fabre et al.",1439,74.35
"2187"," normal blood","Fabre et al.",1439,79.48
"2188"," normal blood","Fabre et al.",1439,68.72
"2189"," normal blood","Fabre et al.",1439,72.1
"2190"," normal blood","Fabre et al.",1439,76.45
"2191"," normal blood","Fabre et al.",1439,80.55
"2192"," normal blood","Fabre et al.",1439,79.66
"2193"," normal blood","Fabre et al.",1439,87.33
"2194"," normal blood","Fabre et al.",1439,61.98
"2195"," normal blood","Fabre et al.",1439,64.99
"2196"," normal blood","Fabre et al.",1439,68.44
"2197"," normal blood","Fabre et al.",1439,71.36
"2198"," normal blood","Fabre et al.",1439,75.76
"2199"," normal blood","Fabre et al.",1439,62.04
"2200"," normal blood","Fabre et al.",1439,68.45
"2201"," normal blood","Fabre et al.",1439,71.45
"2202"," normal blood","Fabre et al.",1439,75.75
"2203"," normal blood","Fabre et al.",1439,71.91
"2204"," normal blood","Fabre et al.",1439,74.94
"2205"," normal blood","Fabre et al.",1439,79.44
